"Throttle", "Brake", "Gear", "Boost", "RPM", "Speed"
100, 0, 6, 0, 6976.15234375, 228.43426518879
100, 0, 6, 0, 6984.0874023438, 228.72375492722
100, 0, 6, 0, 6995.0830078125, 229.10230258565
100, 0, 6, 0, 7004.0322265625, 229.3961731223
100, 0, 6, 0, 7015.318359375, 229.76700288542
100, 0, 6, 0, 7026.2700195313, 230.1346878122
100, 0, 6, 0, 7030.9814453125, 230.31353149643
100, 0, 6, 0, 7045.0771484375, 230.7736114403
100, 0, 6, 0, 7052.564453125, 231.05670164276
100, 0, 6, 0, 7063.2880859375, 231.41227414311
100, 0, 6, 0, 7073.7646484375, 231.76323238576
100, 0, 6, 0, 7081.3422851563, 232.02745357017
100, 0, 6, 0, 7091.3774414063, 232.37223200342
100, 0, 6, 0, 7098.94921875, 232.64095758224
100, 0, 6, 0, 7108.6440429688, 232.97952874026
100, 0, 6, 0, 7117.818359375, 233.31428214936
100, 0, 6, 0, 7124.666015625, 233.56520987709
100, 0, 6, 0, 7133.4125976563, 233.89317922875
100, 0, 6, 0, 7140.6123046875, 234.14745778647
100, 0, 6, 0, 7150.1083984375, 234.46573170382
100, 0, 6, 0, 7160.5844726563, 234.77856738889
100, 0, 6, 0, 7169.6821289063, 235.05819689808
100, 0, 6, 0, 7177.4638671875, 235.28034044689
100, 0, 6, 0, 7185.6025390625, 235.59345079015
100, 0, 6, 0, 7191.3134765625, 235.8314970485
100, 0, 6, 0, 7197.3935546875, 236.08429245196
100, 0, 6, 0, 7204.6938476563, 236.39388717032
100, 0, 6, 0, 7214.798828125, 236.67568647926
100, 0, 6, 0, 7223.4526367188, 236.87679121026
100, 0, 6, 0, 7234.96875, 237.15743695478
100, 0, 6, 0, 7243.69921875, 237.3971311623
100, 0, 6, 0, 7250.888671875, 237.67019634061
100, 0, 6, 0, 7255.1982421875, 237.87706889372
100, 0, 6, 0, 7260.251953125, 238.1461515282
100, 0, 6, 0, 7264.9711914063, 238.35423257737
100, 0, 6, 0, 7273.1376953125, 238.60996682353
100, 0, 6, 0, 7283.55859375, 238.86619545443
100, 0, 6, 0, 7291.1630859375, 239.04502540575
100, 0, 6, 0, 7298.5522460938, 239.30034766461
100, 0, 6, 0, 7301.9423828125, 239.51894812269
100, 0, 6, 0, 7303.412109375, 239.70670446537
100, 0, 6, 0, 7305.6342773438, 239.95384191
100, 0, 6, 0, 7312.1694335938, 240.18101170378
100, 0, 6, 0, 7319.453125, 240.34575168965
100, 0, 6, 0, 7332.0141601563, 240.55649692333
85.525268316269, 39.303159713745, 6, 0, 7306.5024414063, 240.40982944674
26.605266332626, 65.934216976166, 6, 0, 7193.0634765625, 239.14623695092
0, 67.268425226212, 6, 0, 7055.9555664063, 237.55288982516
0, 67.268425226212, 6, 0, 6952.7177734375, 234.84195850049
0, 66.857904195786, 6, 0, 6910.2993164063, 232.94992058675
40.000000596046, 68.089473247528, 0, 0, 6986.4609375, 230.4310028068
40.000000596046, 72.2052693367, 5, 0, 7239.009765625, 227.89958807893
40.000000596046, 70.96843123436, 5, 0, 7755.6596679688, 225.68598034949
0, 68.915796279907, 5, 0, 8140.5126953125, 223.62331103157
0, 66.447371244431, 5, 0, 8074.7734375, 221.04847284295
10.000000149012, 66.447371244431, 5, 0, 8014.1567382813, 219.09940215483
6.6666662693024, 67.268425226212, 5, 0, 7958.0815429688, 217.04813115204
23.999999463558, 67.843163013458, 5, 0, 7878.7036132813, 214.63920024662
0, 68.089473247528, 5, 0, 7740.8876953125, 212.21829424386
0, 68.833690881729, 5, 0, 7655.66796875, 210.30844474611
0, 69.326323270798, 5, 0, 7561.4731445313, 207.71053526903
0, 68.915796279907, 5, 0, 7507.6137695313, 205.65789097527
0, 70.96843123436, 5, 0, 7409.3081054688, 202.79137951556
40.000000596046, 70.96843123436, 0, 0, 7644.59765625, 201.05041734244
40.000000596046, 70.96843123436, 4, 0, 7887.021484375, 199.16271902819
40.000000596046, 70.96843123436, 4, 0, 8110.453125, 196.29940733646
40.000000596046, 68.505263328552, 4, 0, 8365.2353515625, 193.78705388739
0, 68.505263328552, 4, 0, 8508.9541015625, 190.994329352
0, 68.505263328552, 4, 0, 8444.0595703125, 189.10115160674
0, 68.089473247528, 4, 0, 8352.2890625, 186.87176476394
0, 68.915796279907, 4, 0, 8229.642578125, 184.45629699346
0, 69.736844301224, 4, 0, 8122.685546875, 182.27975438754
0, 69.736844301224, 4, 0, 8010.7465820313, 179.68477002025
0, 71.378946304321, 4, 0, 7935.86328125, 177.8346586801
0, 73.436850309372, 4, 0, 7826.3505859375, 175.18927453387
0, 73.847371339798, 4, 0, 7736.033203125, 173.25200041527
0, 74.917894601822, 4, 0, 7611.8051757813, 170.72109380507
0, 75.084209442139, 4, 0, 7495.345703125, 168.34594585774
0, 75.084209442139, 4, 0, 7389.8012695313, 165.70583514887
0, 75.084209442139, 4, 0, 7314.7368164063, 163.7160189174
0, 75.084209442139, 4, 0, 7198.3662109375, 161.11463501415
0, 75.084209442139, 4, 0, 7102.857421875, 159.09444158622
